id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
381,shrimp,cider,eggs,french fries,,,,,,,,,,,,,,,,
382,champagne,,,,,,,,,,,,,,,,,,,
383,salad,,,,,,,,,,,,,,,,,,,
384,french fries,,,,,,,,,,,,,,,,,,,
385,frozen vegetables,mineral water,energy bar,honey,rice,green tea,,,,,,,,,,,,,,
386,french fries,salad,,,,,,,,,,,,,,,,,,
387,honey,chocolate,french fries,brownies,,,,,,,,,,,,,,,,
388,green tea,strawberries,gluten free bar,,,,,,,,,,,,,,,,,
389,frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar,,,,,,,,,,,
390,grated cheese,tomatoes,mineral water,meatballs,,,,,,,,,,,,,,,,
391,shrimp,chocolate,water spray,,,,,,,,,,,,,,,,,
392,turkey,,,,,,,,,,,,,,,,,,,
393,turkey,eggs,,,,,,,,,,,,,,,,,,
394,turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea,,,,,,,,,
395,spaghetti,,,,,,,,,,,,,,,,,,,
396,milk,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
397,burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries,,,,,,,,,,,,,
398,mineral water,,,,,,,,,,,,,,,,,,,
399,tomatoes,mineral water,soup,cake,chocolate,,,,,,,,,,,,,,,
400,mineral water,,,,,,,,,,,,,,,,,,,
401,ground beef,spaghetti,,,,,,,,,,,,,,,,,,
402,pepper,frozen smoothie,,,,,,,,,,,,,,,,,,
403,yogurt cake,,,,,,,,,,,,,,,,,,,
404,red wine,pancakes,,,,,,,,,,,,,,,,,,
405,candy bars,,,,,,,,,,,,,,,,,,,
406,eggs,french fries,low fat yogurt,,,,,,,,,,,,,,,,,
407,cookies,,,,,,,,,,,,,,,,,,,
408,cookies,,,,,,,,,,,,,,,,,,,
409,spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste,,,,,,,,,,,,
410,cookies,,,,,,,,,,,,,,,,,,,
411,soup,olive oil,eggs,soda,corn,,,,,,,,,,,,,,,
412,chocolate,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
413,spaghetti,mineral water,milk,pancakes,chocolate,french fries,,,,,,,,,,,,,,
414,mineral water,,,,,,,,,,,,,,,,,,,
415,herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds,,,,,,,,,,,,
416,burgers,eggs,,,,,,,,,,,,,,,,,,
417,french fries,,,,,,,,,,,,,,,,,,,
418,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,,,
419,tomatoes,mineral water,chocolate,light mayo,,,,,,,,,,,,,,,,
420,salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt,,,,,,,,,,,,,,
421,energy bar,,,,,,,,,,,,,,,,,,,
422,red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice,,,,,,,,,,,,
423,ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne,,,,,,,,,,,,,,
424,cookies,,,,,,,,,,,,,,,,,,,
425,salmon,escalope,,,,,,,,,,,,,,,,,,
426,cookies,,,,,,,,,,,,,,,,,,,
427,low fat yogurt,,,,,,,,,,,,,,,,,,,
428,eggs,,,,,,,,,,,,,,,,,,,
429,red wine,butter,hot dogs,,,,,,,,,,,,,,,,,
430,tomatoes,mineral water,soup,mashed potato,,,,,,,,,,,,,,,,
431,cookies,,,,,,,,,,,,,,,,,,,
432,parmesan cheese,ground beef,salmon,pancakes,champagne,,,,,,,,,,,,,,,
433,ground beef,yams,chocolate,olive oil,eggs,,,,,,,,,,,,,,,
434,shrimp,salmon,eggs,cookies,hot dogs,,,,,,,,,,,,,,,
435,magazines,mint,,,,,,,,,,,,,,,,,,
436,turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope,,,,,,,,,,,,,,
437,mineral water,mushroom cream sauce,,,,,,,,,,,,,,,,,,
438,grated cheese,frozen vegetables,mineral water,soup,milk,french wine,,,,,,,,,,,,,,
439,chocolate,cake,,,,,,,,,,,,,,,,,,
440,burgers,salt,white wine,,,,,,,,,,,,,,,,,
441,energy drink,,,,,,,,,,,,,,,,,,,
442,olive oil,cake,energy drink,,,,,,,,,,,,,,,,,
443,ground beef,whole wheat rice,,,,,,,,,,,,,,,,,,
444,eggs,french fries,,,,,,,,,,,,,,,,,,
445,spaghetti,escalope,mushroom cream sauce,,,,,,,,,,,,,,,,,
446,mineral water,fromage blanc,whole wheat rice,cake,french fries,,,,,,,,,,,,,,,
447,turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo,,,,,,,,,,,
448,green tea,cottage cheese,,,,,,,,,,,,,,,,,,
449,fresh tuna,eggs,champagne,,,,,,,,,,,,,,,,,
450,cookies,,,,,,,,,,,,,,,,,,,
451,cookies,,,,,,,,,,,,,,,,,,,
452,cookies,,,,,,,,,,,,,,,,,,,
453,tomatoes,mineral water,eggplant,,,,,,,,,,,,,,,,,
454,grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries,,,,,,,,,,,
455,protein bar,,,,,,,,,,,,,,,,,,,
456,herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar,,,,,,,,,,,,,,
457,burgers,ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt,,,,,,,,,,
458,french fries,,,,,,,,,,,,,,,,,,,
459,frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope,melons,,,,,,,,,,,,
460,spaghetti,,,,,,,,,,,,,,,,,,,
461,herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt,,,,,,,,,,,
462,ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots,,,,,,,,,,,,
463,ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,
464,chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt,,,,,,,,,,,,,,,
465,eggs,,,,,,,,,,,,,,,,,,,
466,cake,cookies,,,,,,,,,,,,,,,,,,
467,grated cheese,mineral water,cake,chocolate bread,,,,,,,,,,,,,,,,
468,tomatoes,almonds,cake,champagne,low fat yogurt,,,,,,,,,,,,,,,
469,herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate,,,,,,,,,,,,
470,herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower,,,,,,,,,,,,,
471,eggs,corn,,,,,,,,,,,,,,,,,,
472,shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne,,,,,,,,,,
473,ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint,,,,,,,,,
474,energy bar,cake,chocolate,,,,,,,,,,,,,,,,,
475,herb & pepper,shrimp,spaghetti,eggs,,,,,,,,,,,,,,,,
476,fresh tuna,mineral water,honey,cooking oil,,,,,,,,,,,,,,,,
477,red wine,mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt,,,,,,,,,
478,herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie,,,,,,,,,,,
479,ground beef,mineral water,protein bar,,,,,,,,,,,,,,,,,
480,shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines,,,,,,,,
481,milk,chocolate,,,,,,,,,,,,,,,,,,
482,frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese,,,,,,,,,,,,,
483,turkey,ground beef,low fat yogurt,,,,,,,,,,,,,,,,,
484,herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea,,,,,,,,,,,,,
485,green tea,,,,,,,,,,,,,,,,,,,
486,cookies,,,,,,,,,,,,,,,,,,,
487,eggs,cookies,,,,,,,,,,,,,,,,,,
488,spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo,,,,,,,,,,,
489,red wine,spaghetti,milk,eggs,chocolate,,,,,,,,,,,,,,,
490,turkey,burgers,pancakes,french fries,strawberries,green tea,,,,,,,,,,,,,,
491,escalope,,,,,,,,,,,,,,,,,,,
492,frozen vegetables,pancakes,eggs,cake,,,,,,,,,,,,,,,,
493,french fries,,,,,,,,,,,,,,,,,,,
494,turkey,ground beef,pepper,spaghetti,honey,cookies,,,,,,,,,,,,,,
495,chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines,,,,,,,,,,
496,green tea,french fries,,,,,,,,,,,,,,,,,,
497,mineral water,,,,,,,,,,,,,,,,,,,
498,cooking oil,,,,,,,,,,,,,,,,,,,
499,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
500,ham,spaghetti,,,,,,,,,,,,,,,,,,
501,chicken,chocolate,cookies,,,,,,,,,,,,,,,,,
502,low fat yogurt,,,,,,,,,,,,,,,,,,,
503,eggs,cake,low fat yogurt,,,,,,,,,,,,,,,,,
504,shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese,,,,,,,,,,,,
505,mineral water,eggs,protein bar,,,,,,,,,,,,,,,,,
506,turkey,shrimp,meatballs,butter,eggs,salad,green tea,,,,,,,,,,,,,
507,fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries,,,,,,,,,,,,,,
508,turkey,shrimp,escalope,hot dogs,,,,,,,,,,,,,,,,
509,burgers,pepper,soup,milk,pancakes,green tea,,,,,,,,,,,,,,
510,pancakes,,,,,,,,,,,,,,,,,,,
511,mineral water,pancakes,eggs,french fries,,,,,,,,,,,,,,,,
512,eggs,escalope,low fat yogurt,,,,,,,,,,,,,,,,,
513,mineral water,french wine,gluten free bar,,,,,,,,,,,,,,,,,
514,burgers,ground beef,spaghetti,eggs,french fries,,,,,,,,,,,,,,,
515,soup,meatballs,milk,energy bar,,,,,,,,,,,,,,,,
516,chocolate,,,,,,,,,,,,,,,,,,,
517,herb & pepper,,,,,,,,,,,,,,,,,,,
518,turkey,red wine,mineral water,eggs,bramble,,,,,,,,,,,,,,,
519,burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint,,,,,,,,,,,
520,grated cheese,mineral water,olive oil,energy bar,,,,,,,,,,,,,,,,
521,milk,cake,green tea,,,,,,,,,,,,,,,,,
522,mineral water,almonds,cooking oil,cereals,protein bar,white wine,green tea,,,,,,,,,,,,,
523,turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread,,,,,,,,,
524,herb & pepper,mineral water,whole wheat rice,yogurt cake,low fat yogurt,,,,,,,,,,,,,,,
525,tomatoes,spaghetti,meatballs,chicken,eggs,,,,,,,,,,,,,,,
526,burgers,mineral water,eggs,green tea,pancakes,,,,,,,,,,,,,,,
527,cake,green tea,,,,,,,,,,,,,,,,,,
528,chocolate,herb & pepper,yogurt cake,,,,,,,,,,,,,,,,,
529,ground beef,spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes,pancakes,,,,,,,,,,,,
530,mineral water,vegetables mix,eggs,,,,,,,,,,,,,,,,,
531,protein bar,,,,,,,,,,,,,,,,,,,
532,eggs,eggplant,,,,,,,,,,,,,,,,,,
533,mayonnaise,,,,,,,,,,,,,,,,,,,
534,milk,bug spray,oatmeal,sandwich,asparagus,,,,,,,,,,,,,,,
535,frozen vegetables,soup,almonds,eggs,french fries,,,,,,,,,,,,,,,
536,frozen vegetables,,,,,,,,,,,,,,,,,,,
537,soup,butter,shampoo,,,,,,,,,,,,,,,,,
538,herb & pepper,whole wheat pasta,pepper,eggs,,,,,,,,,,,,,,,,
539,mineral water,whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt,,,,,,,,,,,,,
540,grated cheese,butter,chocolate,french fries,cookies,,,,,,,,,,,,,,,
541,spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice,,,,,,,,,,,,,
542,eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea,,,,,,,,,,,,,
543,turkey,tomatoes,mineral water,eggs,blueberries,,,,,,,,,,,,,,,
544,milk,tomato juice,low fat yogurt,green tea,,,,,,,,,,,,,,,,
545,mineral water,soup,almonds,cereals,green tea,,,,,,,,,,,,,,,
546,chocolate,light mayo,,,,,,,,,,,,,,,,,,
547,turkey,herb & pepper,chocolate,,,,,,,,,,,,,,,,,
548,eggs,french fries,green tea,,,,,,,,,,,,,,,,,
549,mineral water,cake,chocolate,tomato juice,,,,,,,,,,,,,,,,
550,eggs,,,,,,,,,,,,,,,,,,,
551,chocolate,pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce,,,,,,,,,,,,,
552,frozen vegetables,pepper,mineral water,chocolate,white wine,,,,,,,,,,,,,,,
553,burgers,turkey,spaghetti,milk,whole wheat rice,oil,tomato juice,green tea,,,,,,,,,,,,
554,burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt,,,,,,,,,,,,
555,butter,green grapes,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,
556,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
557,cookies,,,,,,,,,,,,,,,,,,,
558,milk,energy drink,,,,,,,,,,,,,,,,,,
559,olive oil,energy drink,,,,,,,,,,,,,,,,,,
560,eggs,cookies,,,,,,,,,,,,,,,,,,
561,eggs,,,,,,,,,,,,,,,,,,,
562,energy bar,eggs,,,,,,,,,,,,,,,,,,
563,eggs,,,,,,,,,,,,,,,,,,,
564,eggs,green tea,,,,,,,,,,,,,,,,,,
565,escalope,,,,,,,,,,,,,,,,,,,
566,shrimp,soup,milk,almonds,eggs,oil,chocolate,,,,,,,,,,,,,
567,chocolate,french fries,,,,,,,,,,,,,,,,,,
568,cake,,,,,,,,,,,,,,,,,,,
569,pancakes,eggs,cake,green tea,toothpaste,,,,,,,,,,,,,,,
570,herb & pepper,tomatoes,ground beef,eggs,cooking oil,,,,,,,,,,,,,,,
571,cider,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
572,frozen vegetables,cider,eggs,french fries,,,,,,,,,,,,,,,,
573,yams,cookies,toothpaste,,,,,,,,,,,,,,,,,
574,mineral water,milk,escalope,champagne,hot dogs,fresh bread,,,,,,,,,,,,,,
575,ham,herb & pepper,spaghetti,mineral water,chocolate,pancakes,eggs,,,,,,,,,,,,,
576,pepper,mineral water,escalope,shallot,protein bar,white wine,,,,,,,,,,,,,,
577,turkey,parmesan cheese,spaghetti,meatballs,butter,,,,,,,,,,,,,,,
578,herb & pepper,eggs,escalope,,,,,,,,,,,,,,,,,
579,herb & pepper,,,,,,,,,,,,,,,,,,,
580,burgers,escalope,shallot,,,,,,,,,,,,,,,,,
581,chocolate,pepper,tomato sauce,tomato juice,,,,,,,,,,,,,,,,
582,cookies,,,,,,,,,,,,,,,,,,,
583,burgers,ground beef,spaghetti,mineral water,escalope,melons,,,,,,,,,,,,,,
584,frozen vegetables,mineral water,soup,milk,olive oil,,,,,,,,,,,,,,,
585,turkey,eggs,french fries,asparagus,low fat yogurt,zucchini,,,,,,,,,,,,,,
586,burgers,frozen vegetables,gums,,,,,,,,,,,,,,,,,
587,herb & pepper,frozen vegetables,ground beef,milk,,,,,,,,,,,,,,,,
588,frozen vegetables,cake,light cream,mashed potato,,,,,,,,,,,,,,,,
589,milk,,,,,,,,,,,,,,,,,,,
590,turkey,eggs,barbecue sauce,,,,,,,,,,,,,,,,,
591,escalope,,,,,,,,,,,,,,,,,,,
592,parmesan cheese,french fries,,,,,,,,,,,,,,,,,,
593,energy bar,eggs,,,,,,,,,,,,,,,,,,
594,soup,escalope,mint,,,,,,,,,,,,,,,,,
595,muffins,chicken,zucchini,,,,,,,,,,,,,,,,,
596,burgers,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,,
597,spaghetti,,,,,,,,,,,,,,,,,,,
598,avocado,energy bar,chocolate,,,,,,,,,,,,,,,,,
599,cookies,,,,,,,,,,,,,,,,,,,
600,green tea,,,,,,,,,,,,,,,,,,,
601,whole wheat pasta,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,,,
602,grated cheese,frozen vegetables,eggs,gums,escalope,low fat yogurt,,,,,,,,,,,,,,
603,grated cheese,herb & pepper,mineral water,pancakes,chocolate,escalope,tomato juice,,,,,,,,,,,,,
604,chocolate,spaghetti,yams,flax seed,salmon,frozen smoothie,,,,,,,,,,,,,,
605,burger sauce,oil,,,,,,,,,,,,,,,,,,
606,eggs,french fries,energy drink,,,,,,,,,,,,,,,,,
607,mineral water,,,,,,,,,,,,,,,,,,,
608,grated cheese,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,,
609,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
610,parmesan cheese,spaghetti,soda,pet food,white wine,,,,,,,,,,,,,,,
611,turkey,shrimp,olive oil,chicken,eggs,extra dark chocolate,melons,fresh bread,,,,,,,,,,,,
612,pickles,ground beef,yams,milk,strong cheese,salmon,muffins,french fries,escalope,,,,,,,,,,,
613,pepper,spaghetti,light cream,,,,,,,,,,,,,,,,,
614,frozen vegetables,mineral water,eggs,,,,,,,,,,,,,,,,,
615,spaghetti,chicken,tea,pancakes,gluten free bar,,,,,,,,,,,,,,,
616,fresh tuna,turkey,herb & pepper,spaghetti,mineral water,mint,,,,,,,,,,,,,,
617,spaghetti,mineral water,cooking oil,escalope,,,,,,,,,,,,,,,,
618,soup,,,,,,,,,,,,,,,,,,,
619,burgers,herb & pepper,spaghetti,,,,,,,,,,,,,,,,,
620,cookies,shallot,strawberries,,,,,,,,,,,,,,,,,
621,fresh tuna,chocolate,shrimp,whole wheat pasta,pepper,mineral water,soup,milk,salmon,,,,,,,,,,,
622,yams,mineral water,avocado,milk,butter,cooking oil,chocolate,cottage cheese,,,,,,,,,,,,
623,ham,eggs,french fries,energy drink,,,,,,,,,,,,,,,,
624,mineral water,avocado,,,,,,,,,,,,,,,,,,
625,cookies,,,,,,,,,,,,,,,,,,,
626,chocolate,butter,eggs,green tea,cottage cheese,mayonnaise,,,,,,,,,,,,,,
627,eggs,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,,
628,antioxydant juice,chocolate,,,,,,,,,,,,,,,,,,
629,ground beef,spaghetti,french fries,green tea,,,,,,,,,,,,,,,,
630,cake,,,,,,,,,,,,,,,,,,,
631,turkey,red wine,mineral water,pancakes,eggs,whole wheat rice,cooking oil,chocolate,zucchini,,,,,,,,,,,
632,chocolate,parmesan cheese,mineral water,olive oil,bacon,,,,,,,,,,,,,,,
633,green grapes,gums,,,,,,,,,,,,,,,,,,
634,shrimp,frozen vegetables,parmesan cheese,milk,eggs,cooking oil,chocolate,french fries,,,,,,,,,,,,
635,ground beef,mineral water,milk,eggs,,,,,,,,,,,,,,,,
636,escalope,,,,,,,,,,,,,,,,,,,
637,turkey,cookies,,,,,,,,,,,,,,,,,,
638,ground beef,mineral water,chocolate,green tea,,,,,,,,,,,,,,,,
639,whole wheat pasta,spaghetti,olive oil,butter,chocolate,french fries,tomato juice,low fat yogurt,,,,,,,,,,,,
640,red wine,,,,,,,,,,,,,,,,,,,
641,frozen vegetables,mineral water,eggs,gums,cooking oil,frozen smoothie,cottage cheese,low fat yogurt,,,,,,,,,,,,
642,turkey,grated cheese,energy bar,vegetables mix,brownies,,,,,,,,,,,,,,,
643,turkey,burgers,nonfat milk,cooking oil,energy drink,,,,,,,,,,,,,,,
644,french fries,low fat yogurt,,,,,,,,,,,,,,,,,,
645,muffins,,,,,,,,,,,,,,,,,,,
646,herb & pepper,mineral water,salmon,whole wheat rice,cake,green tea,,,,,,,,,,,,,,
647,mineral water,cake,chocolate,low fat yogurt,candy bars,,,,,,,,,,,,,,,
648,grated cheese,mineral water,chocolate,soup,milk,olive oil,light cream,chicken,,,,,,,,,,,,
649,mineral water,strawberries,,,,,,,,,,,,,,,,,,
650,escalope,,,,,,,,,,,,,,,,,,,
651,grated cheese,parmesan cheese,butter,whole wheat rice,cooking oil,,,,,,,,,,,,,,,
652,ground beef,mint,,,,,,,,,,,,,,,,,,
653,cookies,,,,,,,,,,,,,,,,,,,
654,ground beef,avocado,milk,chicken,rice,,,,,,,,,,,,,,,
655,frozen vegetables,soup,eggs,low fat yogurt,,,,,,,,,,,,,,,,
656,herb & pepper,ground beef,spaghetti,mineral water,chocolate,black tea,french wine,pancakes,rice,green tea,toothpaste,,,,,,,,,
657,shrimp,parmesan cheese,mineral water,eggs,cake,oil,cooking oil,toothpaste,low fat yogurt,,,,,,,,,,,
658,ham,herb & pepper,frozen vegetables,tomatoes,spaghetti,olive oil,black tea,vegetables mix,cooking oil,green tea,frozen smoothie,mint,,,,,,,,
659,chicken,cider,eggs,,,,,,,,,,,,,,,,,
660,shrimp,tomato sauce,mineral water,chocolate,escalope,mint,,,,,,,,,,,,,,
661,energy drink,,,,,,,,,,,,,,,,,,,
662,ham,spaghetti,mineral water,energy bar,eggs,cooking oil,pancakes,fresh bread,low fat yogurt,,,,,,,,,,,
663,shrimp,frozen vegetables,tomatoes,,,,,,,,,,,,,,,,,
664,turkey,herb & pepper,frozen vegetables,ground beef,yams,mineral water,salmon,,,,,,,,,,,,,
665,shrimp,mineral water,,,,,,,,,,,,,,,,,,
666,turkey,ground beef,spaghetti,soup,escalope,yogurt cake,,,,,,,,,,,,,,
667,shrimp,pepper,mineral water,soup,milk,eggs,rice,barbecue sauce,clothes accessories,cookies,,,,,,,,,,
668,burgers,pancakes,,,,,,,,,,,,,,,,,,
669,low fat yogurt,,,,,,,,,,,,,,,,,,,
670,mineral water,milk,,,,,,,,,,,,,,,,,,
671,milk,,,,,,,,,,,,,,,,,,,
672,chocolate,,,,,,,,,,,,,,,,,,,
673,whole wheat pasta,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,,
674,yams,mineral water,eggs,cake,,,,,,,,,,,,,,,,
675,turkey,french fries,,,,,,,,,,,,,,,,,,
676,shrimp,spaghetti,yams,mineral water,chocolate,olive oil,light cream,chicken,green tea,french fries,sandwich,white wine,,,,,,,,
677,mineral water,milk,salmon,green tea,cookies,fresh bread,,,,,,,,,,,,,,
678,spaghetti,olive oil,,,,,,,,,,,,,,,,,,
679,herb & pepper,spaghetti,,,,,,,,,,,,,,,,,,
680,spaghetti,mineral water,soup,salmon,pancakes,chicken,mint green tea,low fat yogurt,,,,,,,,,,,,
681,frozen vegetables,whole wheat pasta,ground beef,mineral water,chocolate,milk,olive oil,almonds,french wine,yogurt cake,fresh bread,,,,,,,,,
682,green tea,,,,,,,,,,,,,,,,,,,
683,burgers,grated cheese,spaghetti,nonfat milk,eggs,gums,chocolate,tomato juice,low fat yogurt,,,,,,,,,,,
684,ham,ground beef,olive oil,energy bar,chicken,brownies,white wine,,,,,,,,,,,,,
685,whole wheat pasta,mineral water,olive oil,cooking oil,frozen smoothie,green tea,,,,,,,,,,,,,,
686,vegetables mix,champagne,,,,,,,,,,,,,,,,,,
687,olive oil,,,,,,,,,,,,,,,,,,,
688,herb & pepper,ground beef,escalope,pancakes,green tea,,,,,,,,,,,,,,,
689,herb & pepper,frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk,french wine,eggs,whole wheat rice,chocolate,escalope,hot dogs,green tea,,,,,,
690,yams,carrots,,,,,,,,,,,,,,,,,,
691,chicken,,,,,,,,,,,,,,,,,,,
692,turkey,burgers,herb & pepper,ground beef,yams,mineral water,avocado,milk,almonds,muffins,eggs,french fries,,,,,,,,
693,whole wheat pasta,salmon,antioxydant juice,mint green tea,,,,,,,,,,,,,,,,
694,chocolate,french fries,strawberries,fresh bread,,,,,,,,,,,,,,,,
695,burgers,chocolate,shrimp,whole wheat pasta,ground beef,soup,energy bar, asparagus,,,,,,,,,,,,
696,mineral water,butter,pancakes,french fries,frozen smoothie,white wine,low fat yogurt,,,,,,,,,,,,,
697,muffins,eggs,,,,,,,,,,,,,,,,,,
698,turkey,shrimp,frozen vegetables,eggs,,,,,,,,,,,,,,,,
699,burgers,eggs,yogurt cake,,,,,,,,,,,,,,,,,
700,burgers,fresh tuna,shrimp,frozen vegetables,whole wheat pasta,yams,mineral water,olive oil,almonds,cake,chicken,extra dark chocolate,,,,,,,,
701,herb & pepper,ground beef,mineral water,chicken,,,,,,,,,,,,,,,,
702,frozen smoothie,,,,,,,,,,,,,,,,,,,
703,chicken,tomato juice,,,,,,,,,,,,,,,,,,
704,whole wheat pasta,olive oil,,,,,,,,,,,,,,,,,,
705,milk,energy bar,green tea,,,,,,,,,,,,,,,,,
706,grated cheese,herb & pepper,,,,,,,,,,,,,,,,,,
707,escalope,green tea,,,,,,,,,,,,,,,,,,
708,soup,meatballs,milk,almonds,green tea,,,,,,,,,,,,,,,
709,herb & pepper,pet food,cookies,,,,,,,,,,,,,,,,,
710,grated cheese,whole wheat pasta,olive oil,energy bar,light cream,oil,french fries,pancakes,low fat yogurt,,,,,,,,,,,
711,honey,,,,,,,,,,,,,,,,,,,
712,parmesan cheese,mineral water,fromage blanc,eggs,honey,frozen smoothie,,,,,,,,,,,,,,
713,bramble,zucchini,,,,,,,,,,,,,,,,,,
714,ground beef,pepper,milk,eggs,green tea,chocolate,white wine,,,,,,,,,,,,,
715,chocolate,red wine,butter,french fries,cookies,low fat yogurt,,,,,,,,,,,,,,
716,chocolate,spaghetti,bug spray,,,,,,,,,,,,,,,,,
717,cookies,,,,,,,,,,,,,,,,,,,
718,spaghetti,mineral water,vegetables mix,eggs,whole wheat rice,fresh bread,,,,,,,,,,,,,,
719,chocolate,grated cheese,mineral water,salmon,whole wheat rice,burger sauce,escalope,mushroom cream sauce,low fat yogurt,,,,,,,,,,,
720,spaghetti,champagne,,,,,,,,,,,,,,,,,,
721,frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,
722,mineral water,body spray,low fat yogurt,,,,,,,,,,,,,,,,,
723,herb & pepper,red wine,whole wheat pasta,cake,tomato juice,,,,,,,,,,,,,,,
724,burgers,parmesan cheese,eggs,french fries,hot dogs,,,,,,,,,,,,,,,
725,mineral water,eggs,pancakes,,,,,,,,,,,,,,,,,
726,eggs,french fries,,,,,,,,,,,,,,,,,,
727,shrimp,frozen vegetables,tomatoes,spaghetti,,,,,,,,,,,,,,,,
728,mineral water,almonds,pancakes,chocolate,french fries,green tea,,,,,,,,,,,,,,
729,cake,french fries,escalope,,,,,,,,,,,,,,,,,
730,frozen vegetables,spaghetti,mineral water,milk,black tea,french wine,cider,chutney,salmon,,,,,,,,,,,
731,almonds,cake,low fat yogurt,,,,,,,,,,,,,,,,,
732,french fries,,,,,,,,,,,,,,,,,,,
733,hot dogs,,,,,,,,,,,,,,,,,,,
734,mineral water,soup,chicken,light cream,green tea,chocolate,champagne,low fat yogurt,,,,,,,,,,,,
735,ground beef,olive oil,,,,,,,,,,,,,,,,,,
736,french fries,cookies,green tea,,,,,,,,,,,,,,,,,
737,soup,blueberries,cooking oil,chocolate,cookies,champagne,salt,,,,,,,,,,,,,
738,chocolate,french fries,frozen smoothie,escalope,fresh bread,,,,,,,,,,,,,,,
739,yams,mint,,,,,,,,,,,,,,,,,,
740,frozen vegetables,ground beef,salmon,muffins,chocolate,magazines,,,,,,,,,,,,,,
741,fresh tuna,herb & pepper,parmesan cheese,milk,olive oil,pancakes,honey,cake,chocolate,,,,,,,,,,,
742,grated cheese,shrimp,butter,whole wheat rice,french fries,escalope,cookies,cottage cheese,,,,,,,,,,,,
743,energy bar,eggs,french fries,champagne,body spray,,,,,,,,,,,,,,,
744,burgers,eggs,french fries,,,,,,,,,,,,,,,,,
